planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable,habitability_score
2.3,192.60498,10.3392924,230.0,797.0,1.31,4045.0,-0.082525,-0.002,K7 V,0.4200415368639667,0.0028116684768132,0,0,0,0,1,0,0,0,0,0,0,2.772943e-05
2.3,192.60498,10.3392924,518.0,797.0,1.31,5612.5,-0.082525,-0.002,M3,0.5828141225337488,0.0028116684768132,0,0,0,0,0,0,1,0,0,0,0,2.5282425e-05
2.3,192.60498,269.3,0.87,797.0,1.31,4415.0,-0.082525,-0.25,K1 III,0.4584631360332294,0.0103412616339193,0,0,0,0,1,0,0,0,0,0,0,0.0011088458
2.3,192.60498,270.27,0.877,797.0,1.31,4415.0,-0.082525,-0.25,K1 III,0.4584631360332294,0.010446046171524,0,0,0,0,1,0,0,0,0,0,0,0.0011088458
2.3,192.60498,1078.0,2.1,797.0,1.31,5872.0,0.1978,0.04,G0 V,0.6693588369678088,0.0014005602240896,0,0,0,1,0,0,0,0,0,0,0,1.267385e-05
2.3,192.60498,1076.6,2.059,797.0,1.31,5829.16,-0.082525,0.0256,G0 V,0.5946874350986501,0.0014033118158854,0,0,0,1,0,0,0,0,0,0,0,1.3054051e-05
2.3,192.60498,1083.2,2.11,797.0,1.31,5612.5,-0.082525,-0.002,G1 V,0.5828141225337488,0.0013904338153503,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,1076.6,2.1,797.0,1.31,5882.0,-0.082525,0.04,G0 V,0.5892004153686397,0.0014033118158854,0,0,0,1,0,0,0,0,0,0,0,1.26083405e-05
2.3,192.60498,1100.8,2.11,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.001357220412595,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,2391.0,3.6,797.0,1.31,5872.0,0.1978,0.04,G0 V,0.6693588369678088,0.0004933399111988,0,0,0,1,0,0,0,0,0,0,0,1.267385e-05
2.3,192.60498,2287.0,3.404,797.0,1.31,5829.16,-0.082525,0.0256,G0 V,0.5946874350986501,0.000520020800832,0,0,0,1,0,0,0,0,0,0,0,1.3054051e-05
2.3,192.60498,7586.0,7.73,797.0,1.31,5612.5,-0.082525,-0.002,G1 V,0.5828141225337488,0.0001384657989476,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,19000.0,13.8,797.0,1.31,5829.16,-0.082525,0.0256,G0 V,0.5946874350986501,5.365958360163125e-05,0,0,0,1,0,0,0,0,0,0,0,1.3054051e-05
2.3,192.60498,14002.0,11.6,797.0,1.31,5872.0,0.1978,0.04,G0 V,0.6693588369678088,7.332453438920662e-05,0,0,0,1,0,0,0,0,0,0,0,1.267385e-05
2.3,192.60498,10.3392924,13.2,797.0,1.31,5612.5,0.85,-0.027,F0 IV,0.9228141225337488,0.0028116684768132,0,0,1,0,0,0,0,0,0,0,0,1.5864607e-05
2.3,192.60498,9100.0,10.4,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0001144688644688,0,0,0,1,0,0,0,0,0,0,0,1.5349027e-05
2.3,192.60498,11688.0,12.0,797.0,1.31,7295.0,0.75157,-0.002,G0 V,0.7430994434060227,8.830801836806782e-05,0,0,0,1,0,0,0,0,0,0,0,1.4712383e-05
2.3,192.60498,14965.0,14.0,797.0,1.31,7295.0,0.75157,-0.002,G0 V,0.7430994434060227,6.848845969454146e-05,0,0,0,1,0,0,0,0,0,0,0,1.4712383e-05
2.3,192.60498,4.2293,0.1008,797.0,1.31,5773.0,-0.082525,0.2,G0 V,0.5994807892004154,0.0027641818422553,0,0,0,1,0,0,0,0,0,0,0,1.901138e-05
2.3,192.60498,4.230785,0.0527,797.0,1.31,5758.0,0.13631,0.18,G0 V,0.6524471568016615,0.0027641931887432,0,0,0,1,0,0,0,0,0,0,0,6.8733652e-06
2.3,192.60498,4.231,0.052,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0027641948315085,0,0,0,1,0,0,0,0,0,0,0,2.280776e-05
2.3,192.60498,4.23077,0.052,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.5828141225337488,0.0027641930741318,0,0,0,1,0,0,0,0,0,0,0,2.280776e-05
2.3,192.60498,4.2307969,0.05235,797.0,1.31,5760.76,-0.082525,0.2058,G0 V,0.5982097611630321,0.0027641932796683,0,0,0,1,0,0,0,0,0,0,0,1.522508e-05
2.3,192.60498,6.7994,0.044,797.0,1.31,3286.0,-0.082525,0.16,M4.5 V,0.3412253374870196,0.0027839597149893,0,0,0,0,0,0,1,0,0,0,0,1.6657646e-05
2.3,192.60498,33.747,0.13,797.0,1.31,3286.0,-0.082525,0.16,M4.5 V,0.3412253374870196,0.0030097546147062,0,0,0,0,0,0,1,0,0,0,0,2.9460514e-05
2.3,192.60498,14.653,0.115,797.0,1.31,5612.5,-0.082525,0.27,G8 V,0.5828141225337488,0.0028461890951111,0,0,0,1,0,0,0,0,0,0,0,2.1055399e-05
