pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target
2.37,4.2307969,0.05235,288.0,1.3275000000000001,5760.76,-0.08333499999999999,0.2058,0.40585972224257416,0.48895003218213706,0.2581017331248289,False,True,False,0
2.37,4.23077,0.052,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.405836659646894,0.4642069806070106,0.2580556078307004,False,True,False,0
2.37,4.230785,0.0527,288.0,1.3275000000000001,5758.0,-0.08333499999999999,0.18,0.40588279312861375,0.4853472752899062,0.2581478748514456,False,True,False,0
2.37,4.2293,1.0,288.0,1.3275000000000001,5773.0,-0.08333499999999999,0.2,0.5274999040000767,0.5448710848137157,0.5013820909211276,False,True,False,0
2.37,4.231,0.052,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.405836659646894,0.4642069806070106,0.25805560870938876,False,True,False,0
2.37,6.7994,0.044,288.0,1.3275000000000001,3872.5,-0.08333499999999999,0.16,0.4053117649407721,0.4618000121675053,0.25701570173888527,False,False,True,0
2.37,33.747,0.13,288.0,1.3275000000000001,3872.5,-0.08333499999999999,0.16,0.4111897435722693,0.4618000121675053,0.26888455645173814,False,False,True,0
2.37,14.647,0.115,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.410125898695037,0.4642069806070106,0.2666750596355139,False,True,False,0
2.37,14.465314,0.11339,288.0,1.3275000000000001,5250.0,-0.08333499999999999,0.23500000000000004,0.41001271798918953,0.46248293106450333,0.26644796272899884,False,True,False,0
2.37,14.653,0.115,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.23500000000000004,0.410125898695037,0.4642069806070106,0.266675083937476,False,True,False,0
2.37,14.65152,0.11522725,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.41014188961876746,0.4642069806070106,0.26670705979037573,False,True,False,0
2.37,14.65162,0.115,288.0,1.3275000000000001,5250.0,-0.08333499999999999,0.23500000000000004,0.410125898695037,0.46248293106450333,0.26667507834795123,False,True,False,0
2.37,14.651,0.1134,288.0,1.3275000000000001,5250.0,-0.08333499999999999,0.23500000000000004,0.4100134203787474,0.46248293106450333,0.2664501192041505,False,True,False,0
2.37,14.65126,0.1138,288.0,1.3275000000000001,5250.0,-0.08333499999999999,0.23500000000000004,0.4100415220681502,0.46248293106450333,0.26650632363604787,False,True,False,0
2.37,14.65171,0.1162,288.0,1.3275000000000001,5317.89,-0.08333499999999999,0.23500000000000004,0.41021038281948435,0.4626220914426473,0.26684404696137887,False,True,False,0
2.37,14.6516,0.1134,288.0,1.3275000000000001,5172.0,-0.08333499999999999,0.23500000000000004,0.4100134203787474,0.4623614747093774,0.2664501216343647,False,False,True,0
2.37,14.6,0.113,700.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.0,0.4642069806070106,0.266393733115083,False,True,False,0
2.37,14.651552,0.118,288.0,1.3275000000000001,5198.0,-0.08333499999999999,0.23500000000000004,0.41033731101389187,0.4623983366783169,0.2670979027102362,False,False,True,0
2.37,14.648,0.11,288.0,1.3275000000000001,5200.0,-0.08333499999999999,0.23,0.40977503627520906,0.46240130933875884,0.2659733388461274,False,True,False,0
2.37,14.67,0.115,288.0,1.3275000000000001,5591.68,-0.08333499999999999,0.0168,0.410125898695037,0.4642069806070106,0.2666751527975429,False,True,False,0
2.37,44.3446,0.24,288.0,1.3275000000000001,5250.0,-0.08333499999999999,0.23500000000000004,0.4195453585455314,0.46248293106450333,0.28564536768230847,False,True,False,0
