planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,habitability_score,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable
2.3,192.60498,10.3392924,230.0,797.0,1.31,4045.0,-0.082525,-0.002,K7 V,0.0013043478260869564,0.4200415368639667,0.0028116684768132085,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,10.3392924,518.0,797.0,1.31,5612.5,-0.082525,-0.002,M3,0.0005791505791505791,0.5828141225337488,0.0028116684768132085,0,0,0,0,0,0,1,0,0,0,0
2.3,192.60498,269.3,0.87,797.0,1.31,4415.0,-0.082525,-0.25,K1 III,0.26548672566371684,0.45846313603322947,0.01034126163391934,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,270.27,0.877,797.0,1.31,4415.0,-0.082525,-0.25,K1 III,0.26714158504007124,0.45846313603322947,0.010446046171524077,0,0,0,0,1,0,0,0,0,0,0
2.3,192.60498,1078.0,2.1,797.0,1.31,5872.0,0.1978,0.04,G0 V,0.14285714285714285,0.6693588369678088,0.0014005602240896359,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1076.6,2.059,797.0,1.31,5829.16,-0.082525,0.0256,G0 V,0.1457017969888295,0.5946874350986501,0.00140331181588549,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1083.2,2.11,797.0,1.31,5612.5,-0.082525,-0.002,G1 V,0.14218009478672985,0.5828141225337488,0.0013904338153503891,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1076.6,2.1,797.0,1.31,5882.0,-0.082525,0.04,G0 V,0.14285714285714285,0.5892004153686397,0.00140331181588549,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,1100.8,2.11,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.14218009478672985,0.5828141225337488,0.0013572204125950056,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,2391.0,3.6,797.0,1.31,5872.0,0.1978,0.04,G0 V,0.08333333333333333,0.6693588369678088,0.000493339911198816,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,2287.0,3.404,797.0,1.31,5829.16,-0.082525,0.0256,G0 V,0.0881316098707403,0.5946874350986501,0.0005200208008320333,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,7586.0,7.73,797.0,1.31,5612.5,-0.082525,-0.002,G1 V,0.03880983182406209,0.5828141225337488,0.00013846579894765993,0,0,0,1,0,0,0,0,0,0,0
