pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target,habitability_rank
2.37,10.39990194,2.36725,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,82
2.37,10.39990194,2.36725,1315.5,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.2126216193171281,False,False,True,0,83
0.9699999999999998,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,84
2.021,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,85
1.182,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,86
2.35,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,87
2.652,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,88
3.770000000000001,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,89
2.66,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,90
1.3,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,91
1.859,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,92
0.9699999999999998,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,93
1.986,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,94
1.401,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,95
3.55068952,10.39990194,1.0,104.26,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,96
2.109,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,97
2.188,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,98
1.289,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,99
1.751,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,100
0.9699999999999998,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,101
2.251,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,0,102
1.427,10.39990194,1.0,288.0,1.3275,3872.5,-0.0833349999999999,0.0168,0.6399313527145711,0.4618000121675053,0.501406073852982,False,False,True,1,103
