pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
"Kepler-29 c",2.90000000,95.30000000,13.29070000000,,,5750.00,0.960000,1.000000,
"Kepler-29 c",1226.40000000,,13.28689074000,714.00,,5716.00,0.872000,0.970000,
"Kepler-29 c",3.50000000,,13.28992000000,759.00,,5966.00,0.920000,1.028000,
"Kepler-29 c",2.39000000,,,,,5378.00,0.748000,,
"Kepler-29 c",,,13.28689074000,,,5358.15,0.824495,0.930000,-0.29687
"Kepler-29 c",1023.26800000,,13.28689074000,,,5378.00,0.732000,0.761000,
"Kepler-29 c",1226.40000000,,13.28689074000,714.00,,5716.00,0.872000,0.970000,
"Kepler-29 c",1226.40000000,,13.28689074000,714.00,,5716.00,0.872000,0.970000,
"Kepler-29 c",2.34000000,4.50000000,13.28613000000,,1.910000,5378.00,0.732000,0.761000,
"Kepler-179 b",1.80000000,,2.73590337500,,,5475.00,0.870000,0.910000,
"Kepler-179 b",1.58000000,,2.73590337500,1072.00,,5294.00,0.761000,0.849000,
"Kepler-179 b",1.70000000,,2.73589000000,1056.00,,5289.00,0.738000,0.842000,
"Kepler-179 b",1.64000000,,2.73592600000,,,5302.00,0.759000,,
"Kepler-179 b",,,2.73590007400,,,5218.43,0.888685,0.890000,-0.27765
"Kepler-179 b",1.58000000,,2.73590337500,1072.00,,5294.00,0.761000,0.849000,
"Kepler-179 b",1.69400000,,,,,5257.00,0.830000,,
"Kepler-179 b",1.56000000,,2.73590007400,1075.00,,5299.00,0.766000,0.856000,
"Kepler-179 b",,,2.73589728000,,,5218.43,0.888685,0.890000,-0.27765
"Kepler-179 b",1.58000000,,2.73590337500,1072.00,,5294.00,0.761000,0.849000,
"Kepler-179 b",1.70800000,,2.73590337500,,,5257.00,0.821000,0.893000,
"Kepler-179 b",,,2.73591039470,,,5218.43,0.888685,0.890000,-0.27765
"Kepler-165 c",2.24000000,,15.31297659000,605.00,,5208.00,0.755000,0.733000,
"Kepler-165 c",2.23000000,,15.31299000000,,,5211.00,0.770000,,
"Kepler-165 c",,,15.31289807680,,,5155.00,0.727855,0.870000,-0.47230
"Kepler-165 c",2.49000000,,15.31307000000,613.00,,5236.00,0.790000,0.790000,
"Kepler-165 c",2.24000000,,15.31297659000,605.00,,5208.00,0.755000,0.733000,
"Kepler-165 c",2.24000000,,15.31297659000,605.00,,5208.00,0.755000,0.733000,
"Kepler-165 c",2.18600000,,15.31297659000,,,5100.00,0.738000,0.746000,
"Kepler-165 c",2.25000000,,15.31297659000,,,5108.00,0.760000,0.800000,
"Kepler-165 c",2.27700000,,,,,5100.00,0.748000,,
"Kepler-165 c",2.34000000,,15.31296388000,581.00,,5081.00,0.770000,0.864000,
"Kepler-165 c",,,15.31296388000,,,5155.00,0.727855,0.870000,-0.47230
"Kepler-165 c",,,15.31290900000,,,5155.00,0.727855,0.870000,-0.47230
"Kepler-228 c",2.84000000,,4.13443005000,,,5630.00,0.920000,0.950000,
"Kepler-228 c",2.70000000,,4.13444400000,,,6043.00,1.014000,,
"Kepler-228 c",2.80000000,,4.13440300000,1138.00,,6014.00,0.940000,1.040000,
"Kepler-228 c",,,4.13442899000,,,5675.00,1.175700,1.010000,0.11115
"Kepler-228 c",,,4.13443512000,,,5675.00,1.175700,1.010000,0.11115
"Kepler-228 c",3.02000000,,4.13443005000,1160.00,,6046.00,0.972000,1.053000,
