pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
Kepler-179 b,1.64,189.74451,2.735926,797.0,1.31,5302.0,0.759,0.959,-0.08288
Kepler-179 b,2.3,189.74451,2.735900074,797.0,1.31,5218.43,0.888685,0.89,-0.27765
Kepler-179 b,1.58,189.74451,2.735903375,1072.0,1.31,5294.0,0.761,0.849,-0.08288
Kepler-179 b,1.694,189.74451,10.338536805,797.0,1.31,5257.0,0.83,0.959,-0.08288
Kepler-179 b,1.56,189.74451,2.735900074,1075.0,1.31,5299.0,0.766,0.856,-0.08288
Kepler-179 b,2.3,189.74451,2.73589728,797.0,1.31,5218.43,0.888685,0.89,-0.27765
Kepler-179 b,1.58,189.74451,2.735903375,1072.0,1.31,5294.0,0.761,0.849,-0.08288
Kepler-179 b,1.708,189.74451,2.735903375,797.0,1.31,5257.0,0.821,0.893,-0.08288
Kepler-179 b,2.3,189.74451,2.7359103947,797.0,1.31,5218.43,0.888685,0.89,-0.27765
Kepler-165 c,2.24,189.74451,15.31297659,605.0,1.31,5208.0,0.755,0.733,-0.08288
Kepler-165 c,2.23,189.74451,15.31299,797.0,1.31,5211.0,0.77,0.959,-0.08288
Kepler-165 c,2.3,189.74451,15.3128980768,797.0,1.31,5155.0,0.727855,0.87,-0.4723
Kepler-165 c,2.49,189.74451,15.31307,613.0,1.31,5236.0,0.79,0.79,-0.08288
Kepler-165 c,2.24,189.74451,15.31297659,605.0,1.31,5208.0,0.755,0.733,-0.08288
Kepler-165 c,2.24,189.74451,15.31297659,605.0,1.31,5208.0,0.755,0.733,-0.08288
Kepler-165 c,2.186,189.74451,15.31297659,797.0,1.31,5100.0,0.738,0.746,-0.08288
Kepler-165 c,2.25,189.74451,15.31297659,797.0,1.31,5108.0,0.76,0.8,-0.08288
Kepler-165 c,2.277,189.74451,10.338536805,797.0,1.31,5100.0,0.748,0.959,-0.08288
Kepler-165 c,2.34,189.74451,15.31296388,581.0,1.31,5081.0,0.77,0.864,-0.08288
Kepler-165 c,2.3,189.74451,15.31296388,797.0,1.31,5155.0,0.727855,0.87,-0.4723
Kepler-165 c,2.3,189.74451,15.312909,797.0,1.31,5155.0,0.727855,0.87,-0.4723
Kepler-228 c,2.84,189.74451,4.13443005,797.0,1.31,5630.0,0.92,0.95,-0.08288
Kepler-228 c,2.7,189.74451,4.134444,797.0,1.31,6043.0,1.014,0.959,-0.08288
Kepler-228 c,2.8,189.74451,4.134403,1138.0,1.31,6014.0,0.94,1.04,-0.08288
Kepler-228 c,2.3,189.74451,4.13442899,797.0,1.31,5675.0,1.1757,1.01,0.11115
Kepler-228 c,2.3,189.74451,4.13443512,797.0,1.31,5675.0,1.1757,1.01,0.11115
Kepler-228 c,3.02,189.74451,4.13443005,1160.0,1.31,6046.0,0.972,1.053,-0.08288
Kepler-228 c,3.02,189.74451,4.13443005,1160.0,1.31,6046.0,0.972,1.053,-0.08288
Kepler-228 c,3.02,189.74451,4.13443005,1160.0,1.31,6046.0,0.972,1.053,-0.08288
Kepler-228 c,2.77,189.74451,4.13443512,1160.0,1.31,6046.0,0.972,1.053,-0.08288
Kepler-228 c,3.423,189.74451,4.13443005,797.0,1.31,5660.0,1.104,1.006,-0.08288
Kepler-228 c,2.3,189.74451,4.1344785877,797.0,1.31,5675.0,1.1757,1.01,0.11115
Kepler-228 c,3.268,189.74451,10.338536805,797.0,1.31,5660.0,1.145,0.959,-0.08288
Kepler-20 c,3.03,189.74451,10.854097835,765.0,1.31,5465.0,0.925,0.876,-0.08288
Kepler-20 c,2.3,189.74451,10.8541002,797.0,1.31,5489.0,0.914982,0.96,-0.16451
Kepler-20 c,3.04,189.74451,10.854097835,797.0,1.31,5569.0,0.93,0.95,-0.08288
Kepler-20 c,2.894,11.1,10.8540774,828.0,2.51,5495.0,0.9164,0.929,-0.08288
Kepler-20 c,3.17,189.74451,10.8540894,763.0,1.31,5443.0,0.939,0.901,-0.08288
Kepler-20 c,3.07,16.1,10.854092,713.0,2.91,5455.0,0.944,0.912,-0.14874
Kepler-20 c,2.99,189.74451,10.854095934,765.0,1.31,5465.0,0.925,0.876,-0.08288
Kepler-20 c,2.88,13.55003079,10.85409784,797.0,3.125463,5613.0,0.951815,0.942,-0.08288
Kepler-20 c,2.868,189.74451,10.338536805,797.0,1.31,5508.0,0.887,0.959,-0.08288
Kepler-20 c,2.3,189.74451,10.8540774435,797.0,1.31,5489.0,0.914982,0.96,-0.16451
Kepler-20 c,2.3,189.74451,10.854095934,797.0,1.31,5489.0,0.914982,0.96,-0.16451
Kepler-20 c,3.03,189.74451,10.854097835,765.0,1.31,5465.0,0.925,0.876,-0.08288
Kepler-20 c,2.88,189.74451,10.854097835,797.0,1.31,5508.0,0.88,0.942,-0.08288
Kepler-20 c,3.047,12.75,10.85409089,772.0,2.5,5495.0,0.9639,0.948,-0.08288
Kepler-20 c,3.03,189.74451,10.854097835,765.0,1.31,5465.0,0.925,0.876,-0.08288
Kepler-166 d,2.3,189.74451,1.55400389,797.0,1.31,5230.0,0.781826,0.89,-0.38508
Kepler-166 d,2.3,189.74451,1.5539980591,797.0,1.31,5230.0,0.781826,0.89,-0.38508
Kepler-166 d,2.3,189.74451,1.55400192,797.0,1.31,5230.0,0.781826,0.89,-0.38508
Kepler-166 d,1.59,189.74451,1.55400389,1313.0,1.31,5409.0,0.746,0.835,-0.08288
Kepler-166 d,1.667,189.74451,10.338536805,797.0,1.31,5175.0,0.782,0.959,-0.08288
Kepler-166 d,1.7,189.74451,1.554001,1336.0,1.31,5432.0,0.78,0.879,-0.08288
Kepler-166 d,1.58,189.74451,1.554003928,1326.0,1.31,5413.0,0.759,0.819,-0.08288
Kepler-166 d,1.58,189.74451,1.554003928,1326.0,1.31,5413.0,0.759,0.819,-0.08288
Kepler-166 d,1.73,189.74451,1.554003928,797.0,1.31,5350.0,0.83,0.88,-0.08288
Kepler-166 d,1.58,189.74451,1.554003928,1326.0,1.31,5413.0,0.759,0.819,-0.08288
Kepler-166 d,1.602,189.74451,1.554003928,797.0,1.31,5175.0,0.771,0.811,-0.08288
Kepler-52 b,2.21,189.74451,7.877356,541.0,1.31,4222.0,0.548,0.577,-0.08288
Kepler-52 b,2.52,79.6,7.877,797.0,1.31,5613.0,0.623,0.66,-0.08288
Kepler-52 b,2.7,189.74451,7.87740709,797.0,1.31,4242.0,0.63,0.66,-0.08288
Kepler-52 b,2.33,189.74451,7.87740709,500.0,1.31,3898.0,0.54,0.56,-0.08288
Kepler-52 b,1.93,189.74451,7.87761021,499.0,1.31,3898.0,0.54,0.56,-0.08288
Kepler-52 b,2.29,189.74451,7.88,797.0,1.31,5613.0,0.951815,0.959,-0.08288
Kepler-52 b,2.16,189.74451,7.8774163,553.0,1.31,4126.0,0.615,0.633,-0.08288
Kepler-52 b,2.3,189.74451,7.8774163,797.0,1.31,4116.0,0.675624,0.64,-0.92799
Kepler-52 b,2.4,189.74451,7.88,797.0,1.31,4163.9,0.63,0.624,-0.08288
Kepler-52 b,2.176,189.74451,10.338536805,797.0,1.31,4127.0,0.621,0.959,-0.08288
Kepler-52 b,2.1,135.0,7.8773565,797.0,1.31,4075.0,0.52,0.54,-0.08288
Kepler-52 b,2.3,189.74451,7.87742645,797.0,1.31,4116.0,0.675624,0.64,-0.92799
Kepler-52 b,2.516,189.74451,10.338536805,797.0,1.31,4127.0,0.623,0.66,-0.99568
Kepler-52 b,2.33,189.74451,7.87740709,500.0,1.31,3898.0,0.54,0.56,-0.08288
Kepler-52 b,2.33,189.74451,7.87740709,500.0,1.31,3898.0,0.54,0.56,-0.08288
Kepler-52 b,2.3,6.27,7.877416,797.0,3.35,5613.0,0.621,0.633,-0.08288
Kepler-197 d,1.42,189.74451,15.67750191,810.0,1.31,6003.0,1.109,0.902,-0.08288
Kepler-197 d,2.3,189.74451,15.67750191,797.0,1.31,5963.52,1.20944,1.093,0.22187
Kepler-197 d,1.244,189.74451,15.67787,797.0,1.31,5963.52,1.20944,1.093,0.22187
Kepler-197 d,1.191,189.74451,15.67756112,797.0,1.31,5613.0,0.951815,0.857,-0.08288
Kepler-197 d,2.3,189.74451,15.677,797.0,1.31,5613.0,1.12,0.92,-0.08288
Kepler-197 d,1.191,189.74451,15.67756112,797.0,1.31,5945.0,1.163,0.857,-0.08288
Kepler-197 d,2.3,189.74451,15.677546605,797.0,1.31,5963.52,1.20944,1.093,0.22187
Kepler-197 d,1.15,189.74451,15.67756112,811.0,1.31,6004.0,1.12,0.922,-0.08288
Kepler-197 d,1.36,189.74451,15.67757,822.0,1.31,5877.0,1.18,0.864,-0.08288
Kepler-197 d,1.15,189.74451,15.67756112,797.0,1.31,6180.0,1.17,1.01,-0.08288
Kepler-197 d,1.22,189.74451,15.677563,797.0,1.31,6004.0,1.12,0.959,-0.08288
Kepler-197 d,1.15,189.74451,15.67756112,811.0,1.31,6004.0,1.12,0.922,-0.08288
Kepler-197 d,2.3,189.74451,15.67770919,797.0,1.31,5963.52,1.20944,1.093,0.22187
Kepler-197 d,1.15,189.74451,15.67756112,811.0,1.31,6004.0,1.12,0.922,-0.08288
Kepler-197 d,1.5,189.74451,10.338536805,797.0,1.31,5945.0,1.169,0.959,-0.08288
K2-183 d,17.4,189.74451,22.634594,797.0,1.31,5613.0,0.92,0.959,-0.08288
K2-183 d,2.54112738,189.74451,22.629496,797.0,1.31,5482.0,0.873283,0.942219,-0.08288
K2-183 d,2.86,189.74451,22.631964,615.0,1.31,5519.0,0.97,0.93,-0.08288
K2-183 d,2.3,189.74451,22.620344,797.0,1.31,5482.0,0.87,0.959,-0.08288
K2-183 d,5.2,189.74451,22.6302,797.0,1.31,5613.0,0.984,0.959,-0.08288
K2-187 e,2.38,189.74451,13.609878,698.0,1.31,5484.0,0.92,0.98,-0.08288
K2-187 e,2.5,189.74451,13.608511,797.0,1.31,5613.0,0.96,0.959,-0.08288
K2-187 e,2.25541631,189.74451,13.608341,797.0,1.31,5477.0,0.894913,0.966999,-0.08288
K2-187 e,1.9,189.74451,13.606629,797.0,1.31,5438.0,0.83,0.959,-0.08288
K2-187 e,2.69,189.74451,13.60496,797.0,1.31,5613.0,0.919,0.959,-0.08288
K2-187 c,1.8,189.74451,2.872042,1173.0,1.31,5484.0,0.92,0.98,-0.08288
K2-187 c,1.8,189.74451,2.871348,797.0,1.31,5613.0,0.96,0.959,-0.08288
K2-187 c,1.4,189.74451,2.871512,797.0,1.31,5438.0,0.83,0.959,-0.08288
K2-187 c,1.9,189.74451,2.87162,797.0,1.31,5613.0,0.919,0.959,-0.08288
K2-187 c,1.70058746,189.74451,2.871788,797.0,1.31,5477.0,0.894913,0.966999,-0.08288
K2-270 b,1.38,189.74451,1.543069,1203.0,1.31,4877.0,0.77,0.85,-0.08288
K2-270 b,1.3,189.74451,1.543452,797.0,1.31,5613.0,0.735,0.959,-0.08288
K2-270 b,1.5,189.74451,1.543041,797.0,1.31,5613.0,0.82,0.959,-0.08288
Kepler-184 d,2.497,189.74451,10.338536805,797.0,1.31,5530.0,0.832,0.959,-0.08288
Kepler-184 d,2.49,189.74451,29.022358,797.0,1.31,5788.0,0.873,0.959,-0.08288
Kepler-184 d,2.8,189.74451,29.02235261,797.0,1.31,5699.0,0.96,0.97,-0.08288
Kepler-184 d,2.53,189.74451,29.02235261,563.0,1.31,5783.0,0.86,0.869,-0.08288
Kepler-184 d,2.8,189.74451,29.02277,567.0,1.31,5817.0,0.89,0.97,-0.08288
Kepler-184 d,2.416,189.74451,29.02235261,797.0,1.31,5530.0,0.821,0.872,-0.08288
Kepler-184 d,2.53,189.74451,29.02235261,563.0,1.31,5783.0,0.86,0.869,-0.08288
